公司名稱,郵遞區號,公司地址,公司電話
豪昱保全股份有限公司,33054,桃園市桃園區埔新路151號,3358710
鴻昌保全股份有限公司,33054,桃園市桃園區力行路5號4樓之1,3350018
瑞泰保全股份有限公司,33054,桃園市桃園區中正三街146巷14號2樓,3478633
富鄰保全股份有限公司,33047,桃園市桃園區信光路58號,3583355
立大保全股份有限公司,33054,桃園市桃園區愛五街5號1樓,3398616
宥安保全股份有限公司,33045,桃園市桃園區慈雲街40號5樓,3311993
台固保全股份有限公司     ,33055,桃園市桃園區永順街115號7樓,3023888
西北保全股份有限公司,33046,桃園市桃園區大興西路二段107號8樓,3024188
豐達保全股份有限公司,33046,桃園市桃園區大興西路二段99號5樓之1,3023981
永達保全股份有限公司,33046,桃園市桃園區大興西路2段99號5樓之2,3019590
漢威保全股份有限公司,33046,桃園市桃園區大興西路2段65號2樓,3024555
生活保全股份有限公司,33046,桃園市桃園區大興西路2段65號7樓,2161005
安聯保全股份有限公司,33046,桃園市桃園區大興西路2段63號12樓,3018099
強固保全股份有限公司桃園分公司,33046,桃園市桃園區大興西路二段63號17樓,3012023
慧智保全股份有限公司,33046,桃園市桃園區同德二街168號4樓,3588760
宏威保全股份有限公司,33046,桃園市桃園區同德二街158之4號5樓,3257514
台達保全股份有限公司,33046,桃園市桃園區中正路925號9樓,3021236
菁英保全股份有限公司,33046,桃園市桃園區大興西路2段6號5樓之2,3011026
勇捷保全股份有限公司,33071,桃園市桃園區中正路1322號9樓,3577089
中悅皇家保全股份有限公司,33071,桃園市桃園區中正路1363號2樓,3168729
永安警保全股份有限公司,33044,桃園市桃園區同安街668號1樓,3560939
"永安保全股份有限公司
(停業中)",33044,桃園市桃園區同安街668號1樓,3560939
龍翔保全股份有限公司,33044,桃園市桃園區經國路525號9樓,3586399
"東元保全股份有限公司
(停業中)",33043,桃園市桃園區民生路832號,3554272
天威保全股份有限公司桃園分公司,33050,桃園市桃園區經國路9號3樓之1,3261215
安心保全股份有限公司,33049,桃園市桃園區民富九街92-1號1樓,3262736
偉盛保全股份有限公司,33074,桃園市桃園區寶山街58巷21號1樓,3259079
慶弘保全股份有限公司,33074,桃園市桃園區民有十二街28號10樓,3577682
良和保全股份有限公司,33050,桃園市桃園區大業路1段404之1號2樓,3586392
國揚保全股份有限公司,33051,桃園市桃園區大業路2段15號5樓,3589401
日長保全股份有限公司,33050,桃園市桃園區春日路1096巷40弄1號1樓,3150260
祥欣保全股份有限公司,33042,桃園市桃園區永樂街146號,3397550
民安保全股份有限公司,33048,桃園市桃園區園一街33號5樓之2,3385112
鴻福保全股份有限公司,33047,桃園市桃園區鎮東街28號2樓,3358740
中興保全股份有限公司桃園分公司,33065,桃園市桃園區大同路11號7樓之2,3395211
天安保全股份有限公司,33066,桃園市桃園區復興路99號12樓之1,3341000
台灣新光保全股份有限公司桃園分公司,33066,桃園市桃園區復興路205號4樓之3,3377251
雲動保全股份有限公司,33042,桃園市桃園區民族路55號8樓,3339300
全方位保全股份有限公司,33042,桃園市桃園區三民路3段284號7樓,3330701
嘉信保全股份有限公司,33042,桃園市桃園區三民路3段188號3樓之3,3390106
鐵衛保全股份有限公司,33066,桃園市桃園區中山路425巷3號2樓,3398833
五嶽保全股份有限公司,33059,桃園市桃園區中山路545號8樓,3946020
東漢保全股份有限公司,33059,桃園市桃園區中山路709之1號3樓,2209834
"開明保全股份有限公司
(停業中)",33057,桃園市桃園區國豐六街67號2樓,3699918
鼎城保全股份有限公司,33072,桃園市桃園區國強一街60號1樓,3600045
"睿豐保全股份有限公司
(停業中)",33072,桃園市桃園區國際路2段47號2樓（延壽街154巷28弄7號）,3604176
風雲保全股份有限公司,33077,桃園市桃園區泰昌三街16之2號1樓,2209990
永豐保全股份有限公司,33077,桃園市桃園區中州街41號,2288218
東京都保全股份有限公司桃園分公司,33077,桃園市桃園區中平路91號2樓,2205980
富通保全股份有限公司,33060,桃園市桃園區中平路98號15樓之1,2627889
佳暉保全股份有限公司,33077,桃園市桃園區宏昌7街78號1樓,2202233
齊國保全股份有限公司,33060,桃園市桃園區宏昌12街508號1樓,2288717
國際維和保全股份有限公司,33072,桃園市桃園區國際路一段1026巷1號,2206542
元泰保全股份有限公司,33060,桃園市桃園區宏昌12街594號,3600952
維鷹特勤保全股份有限公司,33045,桃園市桃園區中正路1247號4樓之2,3566833
合京保全股份有限公司,32041,桃園市中壢區中山路146號12樓,4275522
全日莊保全股份有限公司,32043,桃園市中壢區延平路429號2樓之7,"4262763
4262789"
鉅華保全股份有限公司,32050,桃園市中壢區松義路119號5樓,4279206
臺灣國際警備保全股份有限公司,32086,桃園市中壢區中豐北路65號8樓,425-1185
良福保全股份有限公司桃園分公司,32070,桃園市中壢區環北路398號11樓之5,4259458
燊安國際保全股份有限公司,32059,桃園市中壢區福星六街80號,4616622
揚庭保全股份有限公司,32084,桃園市中壢區四維路16號1樓,4514826
中山保全股份有限公司,32084,桃園市中壢區永泰街111號1樓,4513997
宇鋒保全股份有限公司,32088,桃園市中壢區廣州路210號6樓,4364123
金鷹保全股份有限公司,32056,桃園市中壢區新生路3段785號1樓,4531850
新廉興保全股份有限公司,32056,桃園市中壢區青埔二街132巷10號,4534068
"警仕廳保全股份有限公司
(停業中)",32065,桃園市中壢區忠孝路283巷24號1樓,4556560
順安保全股份有限公司,32066,桃園市中壢區成章二街145號1樓,4628368
東森警備保全股份有限公司,32073,桃園市中壢區陸光五街38號,4354069
龍鼎保全股份有限公司,32083,桃園市中壢區環中東路241號14樓之1,4353896
惠眾保全股份有限公司,32080,桃園市中壢區榮民路286巷25弄12號,4636000
